Close,Timestamp,High,Low,Open
966.75,1483228800,967.0,961.7,965.00000055
960.54319521,1483236000,968.0,957.02,966.99999999
964.50000015,1483243200,967.46186749,960.19226674,960.97761407
967.8,1483250400,967.99989999,962.61528653,964.49999766
963.85195701,1483257600,967.85,962.72003911,966.99999999
974.51000806,1483264800,976.301,964.67378955,965.61528862
974.99999999,1483272000,976.301,970.71223893,974.51001253
979.15442978,1483279200,980.00000001,972.54763186,973.73407716
994.29353106,1483286400,999.9,979.15442979,979.15442979
999.70000119,1483293600,1002.0,993.00000159,993.00000159
1005.99999956,1483300800,1008.54999326,997.90001872,997.90001872
999.36463982,1483308000,1007.40360648,993.71208086,1005.99999939
998.79014392,1483315200,1002.29527406,997.11485556,999.92218873
1012.99999844,1483322400,1017.0,997.18400001,1001.99999991
1014.78896246,1483329600,1017.99999999,1005.36570622,1011.70463477
1018.92603154,1483336800,1019.94999999,1010.0,1013.45820897
1019.81726804,1483344000,1020.0,1011.0,1019.0
1033.5,1483351200,1034.32896003,1017.96518928,1019.81726794
1017.20000677,1483358400,1033.9990995,1000.00000001,1033.5
1028.0,1483365600,1029.72687521,1015.76373813,1019.00519518
1024.49999964,1483372800,1033.9990995,1022.08670546,1027.53000002
1013.66007041,1483380000,1028.98386194,1011.0713565,1024.49999964
1017.0,1483387200,1025.0,994.00000044,1012.18140289
1019.00000076,1483394400,1024.99999999,1014.85898962,1017.49999997
1028.78073475,1483401600,1030.35455897,1018.00000023,1019.00000076
1027.90845791,1483408800,1028.999,1020.0,1028.6797353
1023.45001295,1483416000,1028.999,1021.7999948,1028.36329008
1020.60000451,1483423200,1025.00000491,1015.40000001,1023.45001295
1012.814399,1483430400,1025.00000491,1011.0,1021.99999999
1020.44,1483437600,1022.0,1010.0,1016.85820444
1018.32000001,1483444800,1025.98126518,1012.9,1020.44
1018.06785697,1483452000,1021.17574655,1012.23593031,1018.38100001
1020.0,1483459200,1020.0178,1013.0,1017.99999999
1023.29999998,1483466400,1025.5,1013.63738292,1020.0
1027.94999998,1483473600,1028.99,1016.93177388,1023.0
1037.1,1483480800,1042.02336482,1025.01589058,1027.95
1043.02205141,1483488000,1045.99999999,1035.9006986,1037.1
1050.56828404,1483495200,1052.86383786,1039.46521035,1043.02205362
1058.47673621,1483502400,1058.80000008,1044.68794903,1048.77041661
1058.41310249,1483509600,1065.0,1055.00000073,1058.06685329
1063.40900442,1483516800,1065.0,1055.00000001,1058.41310249
1079.99999989,1483524000,1086.48000004,1063.40900335,1065.0
1094.49006004,1483531200,1095.0,1075.0,1079.99999989
1085.75,1483538400,1095.23421286,1057.02770894,1094.49006004
1131.42250006,1483545600,1133.08023293,1083.47618919,1085.75
1120.0,1483552800,1135.99999998,1091.0,1131.42250004
1095.0,1483560000,1129.99999999,1089.0,1120.0
1136.0,1483567200,1148.0,1094.0000011,1095.0
1129.01000001,1483574400,1140.0,1097.00000009,1134.10000001
1137.74514047,1483581600,1139.0,1120.0,1128.5
1145.0,1483588800,1159.103,1128.0,1135.74514048
1146.62889542,1483596000,1155.93937902,1135.0,1145.0
1067.00000001,1483603200,1148.79999697,1035.0,1146.62889524
1088.74884984,1483610400,1111.0,1064.0,1070.00000001
944.09290145,1483617600,1087.24166247,882.01,1085.51000021
994.99999999,1483624800,995.0,937.81854879,946.71481478
960.01000051,1483632000,995.0,940.338,994.99999999
959.99999998,1483639200,985.058661,953.0,960.01000052
965.05975,1483646400,977.99999,950.0,958.956
998.8,1483653600,1018.99148415,962.8168758,965.05975
1004.91582196,1483660800,1024.88,993.73480452,998.8
979.81575992,1483668000,1007.0,950.0,1005.0
979.84378433,1483675200,985.01,970.0,979.81575995
